rowID	p_T21vsControl	fc_T21vsControl	Symbol
100009613	0.991750245	-1.062868789	LINC02584
100009676	0.160975711	1.113727865	ZBTB11-AS1
10000	0.269369627	-1.245235723	AKT3
10001	0.507638485	1.084404383	MED6
10002	0.80226022	-1.085763295	NR2E3
100033413	0.89461096	1.096484161	SNORD116-1
100033422	0.905291005	1.010196233	SNORD116-10
100033423	0.91364661	1.057789192	SNORD116-11
100033424	0.99993696	1.066155927	SNORD116-12
100033425	0.773240371	-1.011307384	SNORD116-13
100033426	0.042529112	1.199232713	SNORD116-14
100033427	0.880650169	1.177895152	SNORD116-15
100033428	0.438218275	1.022642254	SNORD116-16
100033430	0.42469731	-1.053303924	SNORD116-18
100033431	0.015187623	-1.273803866	SNORD116-20
100033432	0.01682051	-1.071827985	SNORD116-21
100033434	0.994405007	1.133136738	SNORD116-23
100033435	0.266535896	-1.00921146	SNORD116-24
100033436	0.714279906	-1.14533109	SNORD116-25
100033437	0.87695943	1.041540309	SNORD115-2
100033438	0.999996587	1.252953506	SNORD116-26
100033439	0.347125014	-1.293455819	SNORD116-27
100033440	0.965073285	1.005357784	SNORD115-3
100033441	0.504789019	1.139770059	SNORD115-4
100033445	0.8416366	-1.015950844	SNORD115-8
100033447	0.692516318	-1.143252324	SNORD115-10
100033451	0.934511483	1.000614401	SNORD115-14
100033453	0.75342403	-1.079993141	SNORD115-15
100033603	0.998426819	1.031109525	SNORD115-21
100033801	0.991172888	1.051709512	SNORD115-25
100033804	0.742681635	1.066513976	SNORD115-30
100033805	0.844329934	-1.072738063	SNORD115-31
100033806	0.999375211	1.134767141	SNORD115-32
100033807	0.822234788	1.011808997	SNORD115-33
100033808	0.749607107	-1.040318685	SNORD115-34
100033809	0.656935071	-1.012010716	SNORD115-35
100033811	0.880826645	-1.011861067	SNORD115-37
100033812	0.980222287	1.074117817	SNORD115-38
100033813	0.708563532	-1.053799144	SNORD115-39
100033814	0.888568493	-1.051514561	SNORD115-40
100033815	0.980305419	-1.009795322	SNORD115-41
100033820	0.897474788	1.158330709	SNORD116-28
100033821	0.993708773	-1.005792689	SNORD116-29
100033822	0.500740232	1.217191593	SNORD115-48
100034248	0.956433245	1.21810365	row45
100036563	0.971597075	1.202530952	SNORD115-24
100036564	0.490751284	-1.193452013	SNORD115-27
100036565	0.980157855	1.025462504	SNORD115-28
100036566	0.964070478	1.17624534	SNORD115-45
100037417	0.768240583	1.175758501	DDTL
100038246	0.988618999	-1.137004448	TLX1NB
10003	0.509976531	1.579009827	NAALAD2
100048912	0.466532919	-1.136133176	CDKN2B-AS1
100049587	0.928032738	1.046090326	SIGLEC14
100049615	0.929321146	1.112008291	row55
100049716	0.999841067	1.031895032	NINJ2-AS1
10004	0.636058147	1.009957355	NAALADL1
10005	0.331005986	1.055013844	ACOT8
10006	0.80667309	-1.152511707	ABI1
100073347	0.957193008	-1.020899075	MIMT1
10007	0.809287213	1.485897207	GNPDA1
10008	0.441039757	1.297647549	KCNE3
100093630	0.996780765	1.250627297	SNHG8
100093698	0.990552719	1.061517251	GS1-600G8.3
10009	0.490438162	1.136611498	ZBTB33
1000	0.989762161	-1.302860798	CDH2
100101266	0.002539669	-1.014043882	HAVCR1P1
100101467	0.081080192	-1.132645308	ZSCAN30
100101490	0.640166991	1.01129266	MCTS2
100101938	0.585468447	-1.069560009	ANKRD26P3
10010	0.999953564	1.010881935	TANK
100113378	0.958340009	1.122638894	SNORD119
100113379	0.306025481	1.124725528	SNORD121A
100113381	0.42081074	-1.041216749	SNORD19B
100113382	0.418724107	1.323474573	SNORD105B
100113384	0.067433579	1.659806067	SNORD123
100113385	0.591695833	1.033372963	row77
100113386	0.447310112	1.090793723	UCKL1-AS1
100113389	0.999719795	1.025780775	SNORD127
100113390	1	1.026462044	row80
100113391	0.996218459	-1.025242387	SNORD126
100113392	0.867950021	1.050526901	SNORD11B
100113393	0.989191873	1.122285146	SNORD12B
100113402	0.918808663	1.145409943	SNORD111B
