rowID	p_T18vsControl	fc_T18vsControl	mean	sd	Symbol	GeneID	descriptionNCBI	chromoseNCBI	GeneTypeNCBI	SpeciesNCBI	SynonymsNCBI
10718	3.80134201571902e-06	3.07445047185869	3.84527371145455	0.66785383027889	NRG3	10718	neuregulin 3	10	protein-coding	hs	HRG3|pro-NRG3
161394	2.3040148822262e-05	2.17221928754026	3.58024325827273	0.550251741239482	SAMD15	161394	sterile alpha motif domain containing 15	14	protein-coding	hs	C14orf174|FAM15A
10266	0.000124298459446615	2.97582511631652	3.50691030054545	0.573290693387527	RAMP2	10266	receptor activity modifying protein 2	17	protein-coding	hs	-
55016	0.000271719120581881	2.29268278962486	4.09775836704545	0.531866094329996	MARCHF1	55016	membrane associated ring-CH-type finger 1	4	protein-coding	hs	MARCH-I|MARCH1|RNF171
100616372	0.000279810678985748	3.1150920686856	2.65245265513636	0.791856143907241	MIR4659B	100616372	microRNA 4659b	8	ncRNA	hs	-
23507	0.000371841805902884	2.01963750219904	4.03637960163636	0.933838494299541	LRRC8B	23507	leucine rich repeat containing 8 VRAC subunit B	1	protein-coding	hs	TA-LRRP|TALRRP
100507213	0.000493934157567377	1.83929944381199	3.55199898140909	0.395355365937525	row1850	NA	NA	NA	NA	NA	NA
8416	0.000554815148822052	1.96884121755292	3.60833089922727	0.419685024556672	ANXA9	8416	annexin A9	1	protein-coding	hs	ANX31
57475	0.000969626604180429	1.50206284517815	3.87002199504545	0.497627386230878	PLEKHH1	57475	pleckstrin homology, MyTH4 and FERM domain containing H1	14	protein-coding	hs	-
137970	0.00107312658686598	2.01159052431404	3.61613737931818	0.436802000033566	UNC5D	137970	unc-5 netrin receptor D	8	protein-coding	hs	PRO34692|Unc5h4
389384	0.00113146924624663	2.91307440464928	2.51572105213636	0.5922066713133	BNIP5	389384	BCL2 interacting protein 5	6	protein-coding	hs	C6orf222
27289	0.00128614613237776	2.47414166114359	4.03785125663636	0.57796907380429	RND1	27289	Rho family GTPase 1	12	protein-coding	hs	ARHS|RHO6|RHOS
1837	0.00188595056798246	2.84416289874228	4.86332316154545	0.894836160277424	DTNA	1837	dystrobrevin alpha	18	protein-coding	hs	D18S892E|DRP3|DTN|DTN-A|LVNC1|MMCKR2
664614	0.00203168780362595	1.83596252357649	2.90630075263636	0.376850482313145	MIR545	664614	microRNA 545	X	ncRNA	hs	MIRN545|hsa-mir-545|mir-545
114876	0.00263567778098595	2.06058493745347	5.85420069013636	0.937523609038264	OSBPL1A	114876	oxysterol binding protein like 1A	18	protein-coding	hs	ORP-1|ORP1|OSBPL1B
4087	0.00274966986376313	1.55198812178633	8.65508886913636	0.370530539207029	SMAD2	4087	SMAD family member 2	18	protein-coding	hs	CHTD8|JV18|JV18-1|LDS6|MADH2|MADR2|hMAD-2|hSMAD2
120114	0.00304894363613872	2.07305185392179	4.12181641227273	0.558703610681042	FAT3	120114	FAT atypical cadherin 3	11	protein-coding	hs	CDHF15|CDHR10|hFat3
55205	0.00310119292525457	1.64152772001466	7.48316802268182	0.392264750988331	ZNF532	55205	zinc finger protein 532	18	protein-coding	hs	-
22866	0.00320941704279343	1.57721831695804	3.19651757404545	0.291209442527902	CNKSR2	22866	connector enhancer of kinase suppressor of Ras 2	X	protein-coding	hs	CNK2|KSR2|MAGUIN|MRXSHG
255743	0.00327958950923957	4.09421430348504	4.69855550031818	1.16393406949272	NPNT	255743	nephronectin	4	protein-coding	hs	EGFL6L|POEM
23347	0.00342096597405217	1.78580573281036	8.19331041386364	0.354365051433092	SMCHD1	23347	structural maintenance of chromosomes flexible hinge domain containing 1	18	protein-coding	hs	BAMS|FSHD2
1755	0.00349438901086829	1.57363530710181	3.61937591313636	0.320979051742945	DMBT1	1755	deleted in malignant brain tumors 1	10	protein-coding	hs	GP340|SAG|SALSA|muclin
203238	0.00387199316683162	1.54724751407035	4.05560288913636	0.456545589291966	CCDC171	203238	coiled-coil domain containing 171	9	protein-coding	hs	C9orf93|bA536D16.1|bA778P13.1
100422951	0.00444442416766699	1.6015164348695	2.12928590613636	0.282566534090649	MIR3144	100422951	microRNA 3144	6	ncRNA	hs	mir-3144
85444	0.00489615885879602	2.01358422926498	3.48894235072727	0.908091523647499	LRRCC1	85444	leucine rich repeat and coiled-coil centrosomal protein 1	8	protein-coding	hs	CLERC|CLERK|SAP2|VFL1
56907	0.00579714084961525	1.76864413471939	8.20065155904545	0.406598490823048	SPIRE1	56907	spire type actin nucleation factor 1	18	protein-coding	hs	Spir-1
5140	0.00587577279634954	1.94044630520028	2.76593183509091	0.472566130235853	PDE3B	5140	phosphodiesterase 3B	11	protein-coding	hs	HcGIP1|cGIPDE1
390714	0.00733951763909846	1.85711812932288	2.68955702172727	0.40028104988269	IGHV3OR16-17	390714	immunoglobulin heavy variable 3/OR16-17 (non-functional)	16	other	hs	-
2138	0.00817476007596796	2.05251440828436	3.08285545377273	0.471855751959899	EYA1	2138	EYA transcriptional coactivator and phosphatase 1	8	protein-coding	hs	BOP|BOR|BOS1|OFC1|OTFCS
6792	0.00865205231025812	1.65561874125602	6.17491784204545	0.567530337821865	CDKL5	6792	cyclin dependent kinase like 5	X	protein-coding	hs	CFAP247|DEE2|EIEE2|ISSX|STK9
340654	0.00865470191997086	1.63020654541323	2.86093040181818	0.300304735629587	LIPM	340654	lipase family member M	10	protein-coding	hs	LIPL3|bA304I5.1
3430	0.00869406363332004	1.88589624328476	6.17163633040909	0.567909547851912	IFI35	3430	interferon induced protein 35	17	protein-coding	hs	IFP35
22850	0.00969232028241096	1.61663412889199	6.14667005072727	0.380018316582143	ADNP2	22850	ADNP homeobox 2	18	protein-coding	hs	ZNF508
201725	0.00975732917483729	1.57594661815255	5.87020376113636	0.44426996036655	C4orf46	201725	chromosome 4 open reading frame 46	4	protein-coding	hs	RCDG1
152519	0.00983861682200982	1.65755618352614	3.26268987440909	0.523535644967459	NIPAL1	152519	NIPA like domain containing 1	4	protein-coding	hs	NIPA3|NPAL1|SLC57A3
30827	0.0102355428824482	1.75243520017812	6.22175543468182	0.381782876724591	CXXC1	30827	CXXC finger protein 1	18	protein-coding	hs	2410002I16Rik|5830420C16Rik|CFP1|CGBP|HsT2645|PCCX1|PHF18|SPP1|ZCGPC1|hCGBP
84707	0.0103383445698162	1.50144179821009	4.62568850781818	1.17244328631269	BEX2	84707	brain expressed X-linked 2	X	protein-coding	hs	BEX1|DJ79P11.1
2235	0.0107307365958047	1.77278452571515	6.37636330204545	0.463443827057183	FECH	2235	ferrochelatase	18	protein-coding	hs	EPP|EPP1|FCE
554206	0.0112319643979469	2.11475422365	3.28297167836364	0.475750416838101	LCMT1P1	554206	LCMT1 pseudogene 1	16	pseudo	hs	-
65975	0.0113504740095344	1.63360687486986	5.05971874713636	1.18861082565769	STK33	65975	serine/threonine kinase 33	11	protein-coding	hs	SPGF93
29919	0.0118008838016346	1.6658601542036	7.02650615045455	0.359359898002292	RMC1	29919	regulator of MON1-CCZ1	18	protein-coding	hs	C18orf8|HsT2591|MIC1|Mic-1|WDR98
151195	0.0123182253131372	1.92600058938361	9.08754451190909	0.537745432106424	CCNYL1	151195	cyclin Y like 1	2	protein-coding	hs	-
401138	0.0133774410169002	5.45358246123505	2.89776285054545	1.13963282220781	AMTN	401138	amelotin	4	protein-coding	hs	AI3B|UNQ689
79024	0.0139191887356382	1.58114450949168	3.201445714	0.308949490986466	SMIM2	79024	small integral membrane protein 2	13	ncRNA	hs	C13orf44
2523	0.0147726543120276	1.54570342769808	4.18780411086364	0.473716595969215	FUT1	2523	fucosyltransferase 1 (H blood group)	19	protein-coding	hs	H|HH|HSC
25925	0.0151915547207617	2.01202354044803	4.38382856522727	0.518376893241149	ZNF521	25925	zinc finger protein 521	18	protein-coding	hs	EHZF|Evi3
100131439	0.0151950662582728	1.83903412712467	2.37262430722727	0.377314581072221	CD300LD	100131439	CD300 molecule like family member d	17	protein-coding	hs	CD300D|CLM-4|CLM-5|CMRF35-A4|CMRF35A4
3791	0.0154395180948715	5.10027444445703	4.12194619690909	1.27556834346271	KDR	3791	kinase insert domain receptor	4	protein-coding	hs	CD309|FLK1|VEGFR|VEGFR2
80144	0.0154844211573757	1.59869750634425	5.09272204509091	1.14529348153591	FRAS1	80144	Fraser extracellular matrix complex subunit 1	4	protein-coding	hs	FRASRS1
283659	0.0159151882070545	1.62524919648175	4.50117425572727	1.06525299709952	PRTG	283659	protogenin	15	protein-coding	hs	IGDCC5
57821	0.0162515270254701	2.24799230910447	4.22847310977273	1.17503653625003	CCDC181	57821	coiled-coil domain containing 181	1	protein-coding	hs	C1orf114
100505609	0.0168135471886757	1.96424475179475	2.05359676059091	0.450738120449916	LINC02053	100505609	long intergenic non-protein coding RNA 2053	3	ncRNA	hs	-
55364	0.0169153400628073	1.58711454167957	8.25699970404546	0.54793559340683	IMPACT	55364	impact RWD domain protein	18	protein-coding	hs	RWDD5
5099	0.0179569099586366	2.7286099655179	5.14386376468182	1.13815344992427	PCDH7	5099	protocadherin 7	4	protein-coding	hs	BH-Pcdh|BHPCDH|PPP1R120
374918	0.0186368053025316	2.12757288377989	3.29663310659091	0.529966523887626	IGFL1	374918	IGF like family member 1	19	protein-coding	hs	APRG644|UNQ644
4939	0.0186749943517049	1.82521597312823	3.50530118968182	0.474791254095275	OAS2	4939	2'-5'-oligoadenylate synthetase 2	12	protein-coding	hs	AIAISD2
57713	0.0192847029291727	2.95370157049794	4.56159917331818	0.939762587170866	SFMBT2	57713	Scm like with four mbt domains 2	10	protein-coding	hs	-
5582	0.0193647092494591	1.54807860754869	3.88669716472727	0.339036875746157	PRKCG	5582	protein kinase C gamma	19	protein-coding	hs	PKC-gamma|PKCC|PKCG|PKCI(3)|PKCgamma|SCA14
9595	0.0196824901779222	2.28434648861304	3.39888963609091	0.593481912045768	CYTIP	9595	cytohesin 1 interacting protein	2	protein-coding	hs	B3-1|CASP|CYBR|CYTHIP|HE|PSCDBP
284018	0.0197438246006424	1.64557571325621	4.54393223468182	0.352824182188865	C17orf58	284018	chromosome 17 open reading frame 58	17	protein-coding	hs	-
388228	0.019898006293573	1.5536182110746	4.05560264709091	0.525824904574999	SBK1	388228	SH3 domain binding kinase 1	16	protein-coding	hs	SBK
1825	0.0202885097814607	2.85399923786629	4.22442180613636	1.09137723371889	DSC3	1825	desmocollin 3	18	protein-coding	hs	CDHF3|DSC|DSC1|DSC2|DSC4|HT-CP
685	0.0203227380284685	1.56897143481633	3.04381646186364	0.421209224184011	BTC	685	betacellulin	4	protein-coding	hs	-
7976	0.0209392434471205	1.85550402598878	4.28248392286364	1.02918679745543	FZD3	7976	frizzled class receptor 3	8	protein-coding	hs	Fz-3
79959	0.0217599021565715	1.73602720362419	5.70392255104545	0.356228852002503	CEP76	79959	centrosomal protein 76	18	protein-coding	hs	C18orf9|HsT1705
6978	0.021821589872943	1.74142541587968	3.03943119463636	0.356342517901008	TRGV5	6978	T cell receptor gamma variable 5	7	other	hs	TCRGV5|V1S5
84620	0.0225519728061753	3.18080255982454	4.08867716486364	0.774880116313041	ST6GAL2	84620	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	2	protein-coding	hs	SIAT2|ST6GalII
64593	0.0232514635505944	1.5707643601865	2.34439976127273	0.337929010053589	RBMY3AP	64593	RNA binding motif protein Y-linked family 3 member A, pseudogene	Y	pseudo	hs	RBMY3P|RBMY4P|SPATA14
1750	0.0233286152594194	1.58182628893425	4.53148712090909	0.298274476047779	DLX6	1750	distal-less homeobox 6	7	protein-coding	hs	-
574470	0.0233874100807243	1.74384596260642	2.21116729863636	0.397255487831518	MIR525	574470	microRNA 525	19	ncRNA	hs	MIRN525|hsa-mir-525
150737	0.0235513710040852	1.66661711668651	3.51558105513636	0.647387410852261	IFT70B	150737	intraflagellar transport 70B	2	protein-coding	hs	IFT70|TTC30B|fleer
692057	0.0246275471858216	1.76916639999084	3.93397307245455	0.651215222387478	SNORD12	692057	small nucleolar RNA, C/D box 12	20	snoRNA	hs	HBII-99|MIR1259|MIRN1259
348751	0.0246758791479667	1.58443468838116	3.06616519036364	0.451318759473305	FTCDNL1	348751	formiminotransferase cyclodeaminase N-terminal like	2	protein-coding	hs	FONG
55520	0.0247189900389697	1.6653745072548	5.55706307431818	0.377627581642527	ELAC1	55520	elaC ribonuclease Z 1	18	protein-coding	hs	D29
677836	0.0250137490140863	1.53546691948209	2.14401267586364	0.285465608150402	SNORA58	677836	small nucleolar RNA, H/ACA box 58	3	snoRNA	hs	ACA58|SNORA58B
4133	0.0254151999864332	2.18286101610657	5.83129828945455	2.01046145046469	MAP2	4133	microtubule associated protein 2	2	protein-coding	hs	MAP-2|MAP2A|MAP2B|MAP2C
29092	0.0259304743057693	1.88590403278223	4.22119733018182	0.443745833455405	LINC00339	29092	long intergenic non-protein coding RNA 339	1	ncRNA	hs	HSPC157|NCRNA00339
9063	0.0259845364139779	1.59078235538026	7.17064845209091	0.560027350460387	PIAS2	9063	protein inhibitor of activated STAT 2	18	protein-coding	hs	ARIP3|DIP|MIZ1|PIASX|SIZ2|ZMIZ4
84073	0.0267472445649661	1.51492232204779	3.06584537781818	0.287661425760211	MYCBPAP	84073	MYCBP associated protein	17	protein-coding	hs	AMAP-1|AMAP1
646024	0.0285859259920809	1.58853778934772	2.44615730631818	0.320449976135272	RAET1K	646024	retinoic acid early transcript 1K (pseudogene)	6	pseudo	hs	-
55326	0.0286687934102886	1.75052191123701	6.449324496	0.776327933054803	AGPAT5	55326	1-acylglycerol-3-phosphate O-acyltransferase 5	8	protein-coding	hs	1AGPAT5|LPAATE|LPLAT5
692213	0.0287746563650985	1.81174884173891	5.52720043268182	0.603420200283665	SNORD110	692213	small nucleolar RNA, C/D box 110	20	snoRNA	hs	HBII-55
8633	0.0287959202634434	2.43579297356397	3.74693749063636	0.850820361692226	UNC5C	8633	unc-5 netrin receptor C	4	protein-coding	hs	UNC5H3
5356	0.029179120098012	1.52925657331827	8.41038137822727	0.31616713971255	PLRG1	5356	pleiotropic regulator 1	4	protein-coding	hs	Cwc1|PRL1|PRP46|PRPF46|TANGO4
151877	0.0294215511956507	1.7826339164812	4.49546689809091	0.427937959088806	MAGI1-IT1	151877	MAGI1 intronic transcript 1	3	ncRNA	hs	-
4200	0.0294626673801295	1.50887537531051	7.430414495	0.370843039226385	ME2	4200	malic enzyme 2	18	protein-coding	hs	ODS1
728464	0.0309929205428697	1.7365817212735	3.69954772068182	0.527778100728457	METTL24	728464	methyltransferase like 24	6	protein-coding	hs	C6orf186
100505494	0.031016342572621	1.66350599228693	6.12133608045455	0.835056422621348	ANKRD10-IT1	100505494	ANKRD10 intronic transcript 1	13	ncRNA	hs	-
100996310	0.0312592019326089	2.12975904914913	2.6836512025	0.55060408309835	row2617	NA	NA	NA	NA	NA	NA
64231	0.0312732124326478	1.51033958787242	3.20179426422727	0.31061207648878	MS4A6A	64231	membrane spanning 4-domains A6A	11	protein-coding	hs	4SPAN3|4SPAN3.2|CD20L3|CDA01|MS4A6|MST090|MSTP090
28558	0.0317013893033581	1.98576411923199	2.80947385772727	0.515181082618889	TRBV29-1	28558	T cell receptor beta variable 29-1	7	other	hs	TCRBV29S1|TCRBV4S1A1T|TRBV291
100302123	0.0325272279640465	1.57183346268476	2.17526371486364	0.370141738914956	MIR1275	100302123	microRNA 1275	6	ncRNA	hs	MIRN1275|hsa-mir-1275|mir-1275
5771	0.032788540762703	1.51074587823869	6.88288615077273	0.38766133809903	PTPN2	5771	protein tyrosine phosphatase non-receptor type 2	18	protein-coding	hs	PTN2|PTPT|TC-PTP|TC45|TC48|TCELLPTP|TCPTP
7572	0.0330443503554437	1.52941792541299	6.88717494609091	0.374817417708493	ZNF24	7572	zinc finger protein 24	18	protein-coding	hs	KOX17|RSG-A|ZNF191|ZSCAN3|Zfp191
122970	0.033137101786899	1.92143733209597	2.95612359854545	0.438938622250256	ACOT4	122970	acyl-CoA thioesterase 4	14	protein-coding	hs	PTE-Ib|PTE1B|PTE2B
348926	0.0332983636992312	1.51741021575298	3.85441591431818	0.67194869627663	FAM86EP	348926	family with sequence similarity 86, member A pseudogene	4	pseudo	hs	-
91057	0.0340185945323492	1.77768435535417	4.34925734040909	0.468823623689898	CCDC34	91057	coiled-coil domain containing 34	11	protein-coding	hs	L15|NY-REN-41|RAMA3|SPGF76
100130172	0.0345546674274263	1.50777941479362	2.84157336577273	0.319985250701771	FAM13B-AS1	100130172	FAM13B antisense RNA 1	5	ncRNA	hs	-
5630	0.0347494912141346	1.63316595356155	3.35676920322727	0.34655686294826	PRPH	5630	peripherin	12	protein-coding	hs	NEF4|PRPH1
